film.title,distributor.name,gross.box.o.weekend,adm.weekend,weekend.start,weekend.end
Monster Hunter,Sena,1572126,1045,2021-01-22,2021-01-24
Dragon Rider,Samfilm,1417327,1204,2021-01-22,2021-01-24
Honest Thief,Myndform,934945,650,2021-01-22,2021-01-24
Cats & Dogs 3: Paws Unite,Samfilm,688795,594,2021-01-22,2021-01-24
Wonder Woman 1984,Samfilm,662733,467,2021-01-22,2021-01-24
Druk // Drykkja (Another Round),Bíó Paradís,520025,320,2021-01-22,2021-01-24
Come Play,Samfilm,409963,266,2021-01-22,2021-01-24
Palli Rófulausi,Myndform,272836,274,2021-01-22,2021-01-24
The War With Grandpa (2020),Sena,270245,220,2021-01-22,2021-01-24
The Witches,Samfilm,261852,197,2021-01-22,2021-01-24
Freaky,Myndform,231980,148,2021-01-22,2021-01-24
Blackbird (2020),Samfilm,186810,132,2021-01-22,2021-01-24
Hrekkjavökueyjan,Sena,157421,142,2021-01-22,2021-01-24
Jungleland,Samfilm,120615,80,2021-01-22,2021-01-24
Shadow in the Cloud,Sena,108730,70,2021-01-22,2021-01-24
Fjölskylda Stórfótar,Myndform,97910,93,2021-01-22,2021-01-24
Last and First Men,Bíó Paradís,78166,51,2021-01-22,2021-01-24
Honest Thief,Myndform,1032137,708,2021-01-15,2021-01-17
Wonder Woman 1984,Samfilm,965138,785,2021-01-15,2021-01-17
Come Play,Samfilm,923023,679,2021-01-15,2021-01-17
Dragon Rider,Samfilm,867972,977,2021-01-15,2021-01-17
Cats & Dogs 3: Paws Unite,Samfilm,723480,682,2021-01-15,2021-01-17
Skoppa og Skrítla - Brot af því Besta (2020),Samfilm,701650,529,2021-01-15,2021-01-17
Shadow in the Cloud,Sena,443808,271,2021-01-15,2021-01-17
Druk // Drykkja (Another Round),Bíó Paradís,434461,273,2021-01-15,2021-01-17
Freaky,Myndform,380677,314,2021-01-15,2021-01-17
The Witches,Samfilm,372107,284,2021-01-15,2021-01-17
Palli Rófulausi,Myndform,280176,242,2021-01-15,2021-01-17
The War With Grandpa (2020),Sena,278133,215,2021-01-15,2021-01-17
Hrekkjavökueyjan,Sena,182149,162,2021-01-15,2021-01-17
Jungleland,Samfilm,155065,117,2021-01-15,2021-01-17
Elliott The Littlest Reindeer,Samfilm,98780,108,2021-01-15,2021-01-17
Fjölskylda Stórfótar,Myndform,91670,88,2021-01-15,2021-01-17
The Specials (Hors Normes),Bíó Paradís,27040,16,2021-01-15,2021-01-17
About Endlessness (Om det oändliga),Bíó Paradís,24572,16,2021-01-15,2021-01-17
Honest Thief,Myndform,1490504,1047,2021-01-08,2021-01-10
Wonder Woman 1984,Samfilm,1457504,1036,2021-01-08,2021-01-10
Come Play,Samfilm,1188274,715,2021-01-08,2021-01-10
Cats & Dogs 3: Paws Unite,Samfilm,673019,589,2021-01-08,2021-01-10
Skoppa og Skrítla - Brot af því Besta (2020),Samfilm,672555,504,2021-01-08,2021-01-10
Freaky,Myndform,637082,424,2021-01-08,2021-01-10
Druk // Drykkja (Another Round),Bíó Paradís,579083,375,2021-01-08,2021-01-10
Dragon Rider,Samfilm,307782,240,2021-01-08,2021-01-10
The Witches,Samfilm,303259,255,2021-01-08,2021-01-10
Elliott The Littlest Reindeer,Samfilm,252235,198,2021-01-08,2021-01-10
Hrekkjavökueyjan,Sena,241157,210,2021-01-08,2021-01-10
The War With Grandpa (2020),Sena,167579,142,2021-01-08,2021-01-10
Fjölskylda Stórfótar,Myndform,99690,103,2021-01-08,2021-01-10
Songbird,Sena,79580,51,2021-01-08,2021-01-10
Fatman,Samfilm,47985,32,2021-01-08,2021-01-10
The Specials (Hors Normes),Bíó Paradís,27464,17,2021-01-08,2021-01-10
Wonder Woman 1984,Samfilm,2443655,1614,2021-01-01,2021-01-03
Skoppa og Skrítla - Brot af því Besta (2020),Samfilm,1061500,818,2021-01-01,2021-01-03
Freaky,Myndform,1043624,707,2021-01-01,2021-01-03
Elliott The Littlest Reindeer,Samfilm,682090,550,2021-01-01,2021-01-03
Druk // Drykkja (Another Round),Bíó Paradís,419650,262,2021-01-01,2021-01-03
The Witches,Samfilm,418850,346,2021-01-01,2021-01-03
Dragon Rider,Samfilm,212415,180,2021-01-01,2021-01-03
Songbird,Sena,99482,63,2021-01-01,2021-01-03
The War With Grandpa (2020),Sena,78406,59,2021-01-01,2021-01-03
Fatman,Samfilm,71140,47,2021-01-01,2021-01-03
The Grinch,Myndform,70395,81,2021-01-01,2021-01-03
Fjölskylda Stórfótar,Myndform,68420,93,2021-01-01,2021-01-03
Hrekkjavökueyjan,Sena,26179,27,2021-01-01,2021-01-03
The Specials (Hors Normes),Bíó Paradís,10140,6,2021-01-01,2021-01-03
Wonder Woman 1984,Samfilm,2414666,1652,2020-12-25,2020-12-27
Elliott The Littlest Reindeer,Samfilm,393170,336,2020-12-25,2020-12-27
The Witches,Samfilm,276351,240,2020-12-25,2020-12-27
Skoppa og Skrítla - Brot af því Besta (2020),Samfilm,265745,273,2020-12-25,2020-12-27
Druk // Drykkja (Another Round),Bíó Paradís,218384,151,2020-12-25,2020-12-27
Fatman,Samfilm,122135,88,2020-12-25,2020-12-27
The Grinch,Myndform,79756,95,2020-12-25,2020-12-27
Songbird,Sena,76775,51,2020-12-25,2020-12-27
Dragon Rider,Samfilm,73499,64,2020-12-25,2020-12-27
Fjölskylda Stórfótar,Myndform,33370,34,2020-12-25,2020-12-27
The War With Grandpa (2020),Sena,31385,23,2020-12-25,2020-12-27
Superintelligence,Samfilm,22405,15,2020-12-25,2020-12-27
The Specials (Hors Normes),Bíó Paradís,10140,6,2020-12-25,2020-12-27
Wonder Woman 1984,Samfilm,4524717,3055,2020-12-18,2020-12-20
Elliott The Littlest Reindeer,Samfilm,634173,509,2020-12-18,2020-12-20
Fatman,Samfilm,335485,219,2020-12-18,2020-12-20
The Witches,Samfilm,302705,243,2020-12-18,2020-12-20
Druk // Drykkja (Another Round),Bíó Paradís,289120,200,2020-12-18,2020-12-20
Skoppa og Skrítla - Brot af því Besta (2020),Samfilm,218780,167,2020-12-18,2020-12-20
The War With Grandpa (2020),Sena,131706,103,2020-12-18,2020-12-20
The Grinch,Myndform,54456,66,2020-12-18,2020-12-20
Greenland,Myndform,54165,34,2020-12-18,2020-12-20
Superintelligence,Samfilm,47225,29,2020-12-18,2020-12-20
Fjölskylda Stórfótar,Myndform,45570,43,2020-12-18,2020-12-20
Dragon Rider,Samfilm,43350,37,2020-12-18,2020-12-20
Hrekkjavökueyjan,Sena,20080,26,2020-12-18,2020-12-20
The Specials (Hors Normes),Bíó Paradís,3380,4,2020-12-18,2020-12-20
The Witches,Samfilm,775487,583,2020-12-11,2020-12-13
Elliott The Littlest Reindeer,Samfilm,663424,583,2020-12-11,2020-12-13
Fatman,Samfilm,625284,429,2020-12-11,2020-12-13
Druk // Drykkja (Another Round),Bíó Paradís,322019,214,2020-12-11,2020-12-13
Superintelligence,Samfilm,253588,179,2020-12-11,2020-12-13
The War With Grandpa (2020),Sena,195801,159,2020-12-11,2020-12-13
Greenland,Myndform,116814,66,2020-12-11,2020-12-13
Dragon Rider,Samfilm,74765,67,2020-12-11,2020-12-13
Skoppa og Skrítla (2008) - (2020 re-issue),Samfilm,68000,83,2020-12-11,2020-12-13
Hrekkjavökueyjan,Sena,65805,57,2020-12-11,2020-12-13
Danger Close,Samfilm,52210,37,2020-12-11,2020-12-13
Muggur og götuhátíðin (Mugge & vejfesten),Bíó Paradís,38850,35,2020-12-11,2020-12-13
Fjölskylda Stórfótar,Myndform,37060,36,2020-12-11,2020-12-13
Hvolpasveitin (Paw Patrol - The Mighty Pups),Samfilm,7650,11,2020-12-11,2020-12-13
The Witches,Samfilm,737550,540,2020-12-04,2020-12-06
Elliott The Littlest Reindeer,Samfilm,533023,431,2020-12-04,2020-12-06
Superintelligence,Samfilm,263155,190,2020-12-04,2020-12-06
Druk // Drykkja (Another Round),Bíó Paradís,155570,112,2020-12-04,2020-12-06
Danger Close,Samfilm,120710,68,2020-12-04,2020-12-06
The War With Grandpa (2020),Sena,93211,72,2020-12-04,2020-12-06
Skoppa og Skrítla (2008) - (2020 re-issue),Samfilm,79634,98,2020-12-04,2020-12-06
Tenet,Samfilm,60140,38,2020-12-04,2020-12-06
Hrekkjavökueyjan,Sena,55593,41,2020-12-04,2020-12-06
Muggur og götuhátíðin (Mugge & vejfesten),Bíó Paradís,47625,43,2020-12-04,2020-12-06
Dragon Rider,Samfilm,46635,40,2020-12-04,2020-12-06
Greenland,Myndform,39051,25,2020-12-04,2020-12-06
Hvolpasveitin (Paw Patrol - The Mighty Pups),Samfilm,25150,30,2020-12-04,2020-12-06
Fjölskylda Stórfótar,Myndform,21330,25,2020-12-04,2020-12-06
The Specials (Hors Normes),Bíó Paradís,3380,2,2020-12-04,2020-12-06
Superintelligence,Samfilm,445166,307,2020-11-27,2020-11-29
The War With Grandpa (2020),Sena,133895,105,2020-11-27,2020-11-29
Skoppa og Skrítla (2008) - (2020 re-issue),Samfilm,133595,159,2020-11-27,2020-11-29
Danger Close,Samfilm,129397,75,2020-11-27,2020-11-29
Dragon Rider,Samfilm,94754,87,2020-11-27,2020-11-29
Muggur og götuhátíðin (Mugge & vejfesten),Bíó Paradís,76029,67,2020-11-27,2020-11-29
Greenland,Myndform,57600,43,2020-11-27,2020-11-29
Scoob!,Samfilm,56110,50,2020-11-27,2020-11-29
Hrekkjavökueyjan,Sena,42335,36,2020-11-27,2020-11-29
Tenet,Samfilm,39062,29,2020-11-27,2020-11-29
Pets United (Gæludýrafélagið),Samfilm,35560,42,2020-11-27,2020-11-29
After We Collided,Samfilm,32160,22,2020-11-27,2020-11-29
Fjölskylda Stórfótar,Myndform,28170,30,2020-11-27,2020-11-29
Dinner with Friends (Friendsgiving),Sena,14000,9,2020-11-27,2020-11-29
Hvolpasveitin (Paw Patrol - The Mighty Pups),Samfilm,10200,12,2020-11-27,2020-11-29
The Specials (Hors Normes),Bíó Paradís,10140,6,2020-11-27,2020-11-29
Parasite // Sníkjudýrin (Gisaengchung),Bíó Paradís,6760,4,2020-11-27,2020-11-29
Danger Close,Samfilm,232816,149,2020-11-20,2020-11-22
Skoppa og Skrítla (2008) - (2020 re-issue),Samfilm,207200,249,2020-11-20,2020-11-22
The War With Grandpa (2020),Sena,204282,156,2020-11-20,2020-11-22
Hrekkjavökueyjan,Sena,162809,130,2020-11-20,2020-11-22
Greenland,Myndform,157614,102,2020-11-20,2020-11-22
Dragon Rider,Samfilm,118463,110,2020-11-20,2020-11-22
Fjölskylda Stórfótar,Myndform,102929,84,2020-11-20,2020-11-22
Tenet,Samfilm,68235,47,2020-11-20,2020-11-22
Scoob!,Samfilm,67575,59,2020-11-20,2020-11-22
After We Collided,Samfilm,66120,50,2020-11-20,2020-11-22
Pets United (Gæludýrafélagið),Samfilm,64870,60,2020-11-20,2020-11-22
Antebellum,Myndform,46212,28,2020-11-20,2020-11-22
Dinner with Friends (Friendsgiving),Sena,41236,26,2020-11-20,2020-11-22
The Specials (Hors Normes),Bíó Paradís,15210,10,2020-11-20,2020-11-22
About Endlessness (Om det oändliga),Bíó Paradís,11830,7,2020-11-20,2020-11-22
Hvolpasveitin (Paw Patrol - The Mighty Pups),Samfilm,11030,13,2020-11-20,2020-11-22
Parasite // Sníkjudýrin (Gisaengchung),Bíó Paradís,6760,5,2020-11-20,2020-11-22
The Nest,Samfilm,6320,4,2020-11-20,2020-11-22
Ava,Samfilm,4630,5,2020-11-20,2020-11-22
The War With Grandpa (2020),Sena,209458,160,2020-11-13,2020-11-15
Danger Close,Samfilm,184842,123,2020-11-13,2020-11-15
Greenland,Myndform,164111,99,2020-11-13,2020-11-15
Hrekkjavökueyjan,Sena,144701,125,2020-11-13,2020-11-15
Dragon Rider,Samfilm,90280,77,2020-11-13,2020-11-15
Fjölskylda Stórfótar,Myndform,80005,67,2020-11-13,2020-11-15
Scoob!,Samfilm,59400,49,2020-11-13,2020-11-15
Tenet,Samfilm,48235,29,2020-11-13,2020-11-15
Antebellum,Myndform,46635,28,2020-11-13,2020-11-15
Dinner with Friends (Friendsgiving),Sena,46060,34,2020-11-13,2020-11-15
Pets United (Gæludýrafélagið),Samfilm,44045,44,2020-11-13,2020-11-15
After We Collided,Samfilm,42270,27,2020-11-13,2020-11-15
Onward,Samfilm,27940,20,2020-11-13,2020-11-15
The Specials (Hors Normes),Bíó Paradís,20282,13,2020-11-13,2020-11-15
Hvolpasveitin (Paw Patrol - The Mighty Pups),Samfilm,17750,21,2020-11-13,2020-11-15
The Nest,Samfilm,11390,7,2020-11-13,2020-11-15
Ava,Samfilm,10950,7,2020-11-13,2020-11-15
About Endlessness (Om det oändliga),Bíó Paradís,0,2,2020-11-13,2020-11-15
The War With Grandpa (2020),Sena,180998,127,2020-11-06,2020-11-08
Greenland,Myndform,124225,85,2020-11-06,2020-11-08
Hrekkjavökueyjan,Sena,99895,94,2020-11-06,2020-11-08
A Nightmare on Elm Street (1984) - 2020 re-issue,Samfilm,98270,57,2020-11-06,2020-11-08
Dragon Rider,Samfilm,95817,80,2020-11-06,2020-11-08
Pets United (Gæludýrafélagið),Samfilm,80191,67,2020-11-06,2020-11-08
Fjölskylda Stórfótar,Myndform,70675,58,2020-11-06,2020-11-08
The Thing (1982) - 2020 re-issue,Samfilm,48415,35,2020-11-06,2020-11-08
After We Collided,Samfilm,44810,33,2020-11-06,2020-11-08
Tenet,Samfilm,42380,31,2020-11-06,2020-11-08
Scream (1996)  - 2020 re-issue,Samfilm,39340,33,2020-11-06,2020-11-08
Dinner with Friends (Friendsgiving),Sena,37041,33,2020-11-06,2020-11-08
Antebellum,Myndform,35070,20,2020-11-06,2020-11-08
Scoob!,Samfilm,29775,26,2020-11-06,2020-11-08
The Exorcist (1973) - 2020 re-issue,Samfilm,28410,19,2020-11-06,2020-11-08
The Specials (Hors Normes),Bíó Paradís,25350,18,2020-11-06,2020-11-08
About Endlessness (Om det oändliga),Bíó Paradís,18590,11,2020-11-06,2020-11-08
Hvolpasveitin (Paw Patrol - The Mighty Pups),Samfilm,17000,20,2020-11-06,2020-11-08
Ava,Samfilm,14620,8,2020-11-06,2020-11-08
The Nest,Samfilm,8010,7,2020-11-06,2020-11-08
Parasite // Sníkjudýrin (Gisaengchung),Bíó Paradís,6760,4,2020-11-06,2020-11-08
A Nightmare on Elm Street (1984) - 2020 re-issue,Samfilm,178946,120,2020-10-30,2020-11-01
The War With Grandpa (2020),Sena,177003,145,2020-10-30,2020-11-01
Greenland,Myndform,167613,100,2020-10-30,2020-11-01
Scream (1996)  - 2020 re-issue,Samfilm,124850,76,2020-10-30,2020-11-01
The Thing (1982) - 2020 re-issue,Samfilm,110105,72,2020-10-30,2020-11-01
After We Collided,Samfilm,94790,59,2020-10-30,2020-11-01
Hrekkjavökueyjan,Sena,87205,75,2020-10-30,2020-11-01
Dragon Rider,Samfilm,64960,58,2020-10-30,2020-11-01
Dinner with Friends (Friendsgiving),Sena,61544,49,2020-10-30,2020-11-01
Antebellum,Myndform,54936,33,2020-10-30,2020-11-01
The Exorcist (1973) - 2020 re-issue,Samfilm,52810,35,2020-10-30,2020-11-01
Fjölskylda Stórfótar,Myndform,30355,29,2020-10-30,2020-11-01
Pets United (Gæludýrafélagið),Samfilm,24780,23,2020-10-30,2020-11-01
The Nest,Samfilm,19120,15,2020-10-30,2020-11-01
Scoob!,Samfilm,12905,10,2020-10-30,2020-11-01
Tenet,Samfilm,12524,10,2020-10-30,2020-11-01
Ava,Samfilm,9200,6,2020-10-30,2020-11-01
Onward,Samfilm,6870,6,2020-10-30,2020-11-01
Hvolpasveitin (Paw Patrol - The Mighty Pups),Samfilm,5950,7,2020-10-30,2020-11-01
About Endlessness (Om det oändliga),Bíó Paradís,5070,5,2020-10-30,2020-11-01
The War With Grandpa (2020),Sena,629574,493,2020-10-23,2020-10-25
After We Collided,Samfilm,618005,432,2020-10-23,2020-10-25
Dragon Rider,Samfilm,340460,313,2020-10-23,2020-10-25
Fjölskylda Stórfótar,Myndform,332266,306,2020-10-23,2020-10-25
Greenland,Myndform,330096,223,2020-10-23,2020-10-25
Dinner with Friends (Friendsgiving),Sena,149936,122,2020-10-23,2020-10-25
Pets United (Gæludýrafélagið),Samfilm,141962,126,2020-10-23,2020-10-25
Scoob!,Samfilm,121635,101,2020-10-23,2020-10-25
Ella Bella Bingó,Sena,93165,72,2020-10-23,2020-10-25
Tenet,Samfilm,84145,57,2020-10-23,2020-10-25
The Nest,Samfilm,61980,44,2020-10-23,2020-10-25
Ava,Samfilm,54670,48,2020-10-23,2020-10-25
Hvolpasveitin (Paw Patrol - The Mighty Pups),Samfilm,47740,65,2020-10-23,2020-10-25
Onward,Samfilm,40680,35,2020-10-23,2020-10-25
Unhinged,Samfilm,33880,25,2020-10-23,2020-10-25
Antebellum,Myndform,30634,24,2020-10-23,2020-10-25
The Specials (Hors Normes),Bíó Paradís,15210,11,2020-10-23,2020-10-25
Draumasmiðjan,Myndform,11215,8,2020-10-23,2020-10-25
Þriðji póllinn,Sena,10990,6,2020-10-23,2020-10-25
About Endlessness (Om det oändliga),Bíó Paradís,10140,9,2020-10-23,2020-10-25
After We Collided,Samfilm,998714,638,2020-10-16,2020-10-18
Dragon Rider,Samfilm,289370,275,2020-10-16,2020-10-18
The War With Grandpa (2020),Sena,228335,194,2020-10-16,2020-10-18
Greenland,Myndform,185705,124,2020-10-16,2020-10-18
Pets United (Gæludýrafélagið),Samfilm,163715,140,2020-10-16,2020-10-18
Fjölskylda Stórfótar,Myndform,113091,111,2020-10-16,2020-10-18
Tenet,Samfilm,108041,65,2020-10-16,2020-10-18
Ava,Samfilm,56430,33,2020-10-16,2020-10-18
Hvolpasveitin (Paw Patrol - The Mighty Pups),Samfilm,50150,59,2020-10-16,2020-10-18
Scoob!,Samfilm,50070,43,2020-10-16,2020-10-18
The Nest,Samfilm,48700,34,2020-10-16,2020-10-18
The New Mutants,Sena,45590,28,2020-10-16,2020-10-18
The Specials (Hors Normes),Bíó Paradís,38872,28,2020-10-16,2020-10-18
Máni Mávabróðir,Myndform,35750,29,2020-10-16,2020-10-18
Parasite // Sníkjudýrin (Gisaengchung),Bíó Paradís,33378,22,2020-10-16,2020-10-18
Unhinged,Samfilm,30420,18,2020-10-16,2020-10-18
Onward,Samfilm,30050,26,2020-10-16,2020-10-18
About Endlessness (Om det oändliga),Bíó Paradís,21126,20,2020-10-16,2020-10-18
Amma Hófí,Myndform,17966,10,2020-10-16,2020-10-18
Ella Bella Bingó,Sena,15290,14,2020-10-16,2020-10-18
Dragon Rider,Samfilm,262142,253,2020-10-09,2020-10-11
The War With Grandpa (2020),Sena,260481,213,2020-10-09,2020-10-11
Greenland,Myndform,179375,150,2020-10-09,2020-10-11
Tenet,Samfilm,116860,72,2020-10-09,2020-10-11
Fjölskylda Stórfótar,Myndform,102276,90,2020-10-09,2020-10-11
Pets United (Gæludýrafélagið),Samfilm,90179,75,2020-10-09,2020-10-11
The New Mutants,Sena,61350,39,2020-10-09,2020-10-11
Hvolpasveitin (Paw Patrol - The Mighty Pups),Samfilm,60500,73,2020-10-09,2020-10-11
The Nest,Samfilm,56830,41,2020-10-09,2020-10-11
Ava,Samfilm,49440,38,2020-10-09,2020-10-11
Captain Sabertooth and the Magic Diamond / Kapteinn Skögultönn og töfrademanturinn,Myndform,49200,42,2020-10-09,2020-10-11
Scoob!,Samfilm,44809,37,2020-10-09,2020-10-11
Unhinged,Samfilm,30980,20,2020-10-09,2020-10-11
Amma Hófí,Myndform,29925,19,2020-10-09,2020-10-11
Onward,Samfilm,28984,27,2020-10-09,2020-10-11
Þriðji póllinn,Sena,28270,17,2020-10-09,2020-10-11
The Specials (Hors Normes),Bíó Paradís,27042,17,2020-10-09,2020-10-11
Agnes (re-issue 2020),Samfilm,24385,13,2020-10-09,2020-10-11
Ella Bella Bingó,Sena,24040,25,2020-10-09,2020-10-11
Parasite // Sníkjudýrin (Gisaengchung),Bíó Paradís,17324,13,2020-10-09,2020-10-11
About Endlessness (Om det oändliga),Bíó Paradís,9296,8,2020-10-09,2020-10-11
Trolls World Tour,Myndform,5440,4,2020-10-09,2020-10-11
A Hidden Life,Samfilm,2940,2,2020-10-09,2020-10-11
The War With Grandpa (2020),Sena,2071964,1554,2020-10-02,2020-10-04
Greenland,Myndform,1433621,936,2020-10-02,2020-10-04
Fjölskylda Stórfótar,Myndform,737289,672,2020-10-02,2020-10-04
Tenet,Samfilm,634592,386,2020-10-02,2020-10-04
Pets United (Gæludýrafélagið),Samfilm,444419,415,2020-10-02,2020-10-04
Scoob!,Samfilm,262018,235,2020-10-02,2020-10-04
Trolls World Tour,Myndform,261425,308,2020-10-02,2020-10-04
Hvolpasveitin (Paw Patrol - The Mighty Pups),Samfilm,233050,274,2020-10-02,2020-10-04
The New Mutants,Sena,217965,133,2020-10-02,2020-10-04
The Nest,Samfilm,194199,135,2020-10-02,2020-10-04
Onward,Samfilm,193200,233,2020-10-02,2020-10-04
Antebellum,Myndform,182925,117,2020-10-02,2020-10-04
Ella Bella Bingó,Sena,182836,168,2020-10-02,2020-10-04
Þriðji póllinn,Sena,168155,93,2020-10-02,2020-10-04
Amma Hófí,Myndform,154140,92,2020-10-02,2020-10-04
Ava,Samfilm,142580,96,2020-10-02,2020-10-04
The Specials (Hors Normes),Bíó Paradís,80698,59,2020-10-02,2020-10-04
Agnes (re-issue 2020),Samfilm,67405,35,2020-10-02,2020-10-04
Unhinged,Samfilm,62050,41,2020-10-02,2020-10-04
Draumasmiðjan,Myndform,51300,51,2020-10-02,2020-10-04
Harry Potter and the Prisoner of Azkaban (2020 re-issue),Samfilm,49535,36,2020-10-02,2020-10-04
Harry Potter and the Goblet of Fire (2020 re-issue),Samfilm,38920,28,2020-10-02,2020-10-04
About Endlessness (Om det oändliga),Bíó Paradís,34224,28,2020-10-02,2020-10-04
A Hidden Life,Samfilm,26030,17,2020-10-02,2020-10-04
Bill and Ted Face the Music (2020),Sena,20800,26,2020-10-02,2020-10-04
Harry Potter and the Chamber of Secrets (2020 re-issue),Samfilm,16010,11,2020-10-02,2020-10-04
The Secret : Dare to Dream,Samfilm,14330,9,2020-10-02,2020-10-04
Harry Potter and the Sorcerer´s Stone (2020 re-issue),Samfilm,10140,6,2020-10-02,2020-10-04
Parasite // Sníkjudýrin (Gisaengchung),Bíó Paradís,6760,4,2020-10-02,2020-10-04
Greenland,Myndform,2474694,1612,2020-09-25,2020-09-27
Fjölskylda Stórfótar,Myndform,1271123,1173,2020-09-25,2020-09-27
Tenet,Samfilm,790761,514,2020-09-25,2020-09-27
Pets United (Gæludýrafélagið),Samfilm,621565,544,2020-09-25,2020-09-27
Trolls World Tour,Myndform,565488,652,2020-09-25,2020-09-27
Ava,Samfilm,417686,291,2020-09-25,2020-09-27
Scoob!,Samfilm,341089,289,2020-09-25,2020-09-27
Amma Hófí,Myndform,329565,203,2020-09-25,2020-09-27
Antebellum,Myndform,311964,204,2020-09-25,2020-09-27
Þriðji póllinn,Sena,288290,161,2020-09-25,2020-09-27
Hvolpasveitin (Paw Patrol - The Mighty Pups),Samfilm,287422,341,2020-09-25,2020-09-27
Agnes (re-issue 2020),Samfilm,248537,139,2020-09-25,2020-09-27
Ella Bella Bingó,Sena,244321,219,2020-09-25,2020-09-27
The New Mutants,Sena,231532,183,2020-09-25,2020-09-27
Draumasmiðjan,Myndform,126736,109,2020-09-25,2020-09-27
Unhinged,Samfilm,106950,76,2020-09-25,2020-09-27
The Specials (Hors Normes),Bíó Paradís,93798,65,2020-09-25,2020-09-27
The Secret : Dare to Dream,Samfilm,80480,59,2020-09-25,2020-09-27
Harry Potter and the Sorcerer´s Stone (2020 re-issue),Samfilm,75990,57,2020-09-25,2020-09-27
Bill and Ted Face the Music (2020),Sena,72589,51,2020-09-25,2020-09-27
A Hidden Life,Samfilm,71740,51,2020-09-25,2020-09-27
Harry Potter and the Chamber of Secrets (2020 re-issue),Samfilm,57700,41,2020-09-25,2020-09-27
Harry Potter and the Goblet of Fire (2020 re-issue),Samfilm,30640,19,2020-09-25,2020-09-27
Harry Potter and the Prisoner of Azkaban (2020 re-issue),Samfilm,23900,17,2020-09-25,2020-09-27
About Endlessness (Om det oändliga),Bíó Paradís,20282,22,2020-09-25,2020-09-27
Greenland,Myndform,2890946,1796,2020-09-18,2020-09-20
Fjölskylda Stórfótar,Myndform,1417815,1296,2020-09-18,2020-09-20
Tenet,Samfilm,1180700,762,2020-09-18,2020-09-20
Pets United (Gæludýrafélagið),Samfilm,659884,583,2020-09-18,2020-09-20
Ava,Samfilm,576925,374,2020-09-18,2020-09-20
Ella Bella Bingó,Sena,470246,420,2020-09-18,2020-09-20
Antebellum,Myndform,383173,258,2020-09-18,2020-09-20
Hvolpasveitin (Paw Patrol - The Mighty Pups),Samfilm,352274,417,2020-09-18,2020-09-20
The New Mutants,Sena,346672,227,2020-09-18,2020-09-20
Scoob!,Samfilm,321672,287,2020-09-18,2020-09-20
Trolls World Tour,Myndform,236352,206,2020-09-18,2020-09-20
Amma Hófí,Myndform,213375,149,2020-09-18,2020-09-20
Draumasmiðjan,Myndform,204287,191,2020-09-18,2020-09-20
The Secret : Dare to Dream,Samfilm,139845,161,2020-09-18,2020-09-20
Bill and Ted Face the Music (2020),Sena,126263,86,2020-09-18,2020-09-20
Harry Potter and the Chamber of Secrets (2020 re-issue),Samfilm,104180,75,2020-09-18,2020-09-20
A Hidden Life,Samfilm,84140,58,2020-09-18,2020-09-20
The Specials (Hors Normes),Bíó Paradís,79012,62,2020-09-18,2020-09-20
Unhinged,Samfilm,78984,53,2020-09-18,2020-09-20
Harry Potter and the Sorcerer´s Stone (2020 re-issue),Samfilm,64090,52,2020-09-18,2020-09-20
About Endlessness (Om det oändliga),Bíó Paradís,61690,52,2020-09-18,2020-09-20
Harry Potter and the Prisoner of Azkaban (2020 re-issue),Samfilm,30160,28,2020-09-18,2020-09-20
Harry Potter and the Order of the Phoenix (2020 re-issue),Samfilm,19140,11,2020-09-18,2020-09-20
Harry Potter and the Goblet of Fire (2020 re-issue),Samfilm,18360,15,2020-09-18,2020-09-20
Tenet,Samfilm,2889519,1861,2020-09-11,2020-09-13
Fjölskylda Stórfótar,Myndform,1546985,1400,2020-09-11,2020-09-13
Antebellum,Myndform,982516,613,2020-09-11,2020-09-13
Pets United (Gæludýrafélagið),Samfilm,825699,743,2020-09-11,2020-09-13
The New Mutants,Sena,795251,522,2020-09-11,2020-09-13
Ella Bella Bingó,Sena,515792,440,2020-09-11,2020-09-13
Amma Hófí,Myndform,492845,297,2020-09-11,2020-09-13
Scoob!,Samfilm,447162,373,2020-09-11,2020-09-13
Hvolpasveitin (Paw Patrol - The Mighty Pups),Samfilm,358550,424,2020-09-11,2020-09-13
Bill and Ted Face the Music (2020),Sena,269819,176,2020-09-11,2020-09-13
Trolls World Tour,Myndform,264340,253,2020-09-11,2020-09-13
Draumasmiðjan,Myndform,264233,219,2020-09-11,2020-09-13
Unhinged,Samfilm,192280,128,2020-09-11,2020-09-13
A Hidden Life,Samfilm,131390,103,2020-09-11,2020-09-13
The Secret : Dare to Dream,Samfilm,102180,114,2020-09-11,2020-09-13
Onward,Samfilm,66040,53,2020-09-11,2020-09-13
Harry Potter and the Goblet of Fire (2020 re-issue),Samfilm,45720,37,2020-09-11,2020-09-13
Harry Potter and the Prisoner of Azkaban (2020 re-issue),Samfilm,41460,31,2020-09-11,2020-09-13
The Rental,Myndform,32400,21,2020-09-11,2020-09-13
Harry Potter and the Sorcerer´s Stone (2020 re-issue),Samfilm,25960,37,2020-09-11,2020-09-13
Harry Potter and the Order of the Phoenix (2020 re-issue),Samfilm,14022,10,2020-09-11,2020-09-13
Tenet,Samfilm,4137672,2683,2020-09-04,2020-09-06
